	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_59870	16		7.09136765081867	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_03330	14		118.59651807857449	17863.267973856207	17170.0	10.0	36690.0	36680.0	PA14_03340-PA14_03330-PA14_03320
PA14_10970	3		12.566729386952552	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_10970-PA14_10960
PA14_59860	16		9.022371182315016	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_03320	6		321.374921299215	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_03340-PA14_03330-PA14_03320
PA14_03290	4		298.100020721588	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_03290-PA14_03300
PA14_48490	22		24.778979737096595	18073.777777777777	17550.0	10.0	36450.0	36440.0	PA14_48490-PA14_48470-PA14_48460-PA14_48450
PA14_21560	1		74.72921543799565	17778.46153846154	17995.0	410.0	36490.0	36080.0	PA14_21540-PA14_21550-PA14_21560
PA14_22230	28		17.165490820469103	17067.88888888889	15215.0	1505.0	35795.0	34290.0
PA14_22140	12		34.512221376887155	11923.272727272728	6500.0	10.0	36680.0	36670.0
PA14_33330	21		489.20578818828403	17949.090909090908	19275.0	10.0	36070.0	36060.0	PA14_33330-PA14_33320-PA14_33310-PA14_33300
PA14_24190	0		74.848078158143	18229.39393939394	18065.0	10.0	36140.0	36130.0	PA14_24180-PA14_24190
PA14_30860	3		15.122227950766352	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_30880-PA14_30870-PA14_30860-PA14_30850
PA14_59940	4		187.491075961572	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_54870	7		159.92080038733548	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_39910	11	phzE2	1.713126995946155	19164.444444444445	18785.0	10.0	36400.0	36390.0	phzB2-phzC2-phzD2-phzE2-phzF2-phzG2
PA14_31430	36		44.08660124948135	19002.222222222223	17830.0	200.0	32650.0	32450.0
PA14_63740	0		7.740731079558344	18229.39393939394	18065.0	10.0	36140.0	36130.0	PA14_63780-PA14_63770-PA14_63750-PA14_63740
